제목,축약 내용
"하동군, 지적 불부합지 6개 지구 지적 재조사한다",기사내용 요약 1294필지 46만1821㎡ [하동=뉴시스] 차용현 기자 = 경남 하동군은 올해 지적불부합지 6개 지구 1294필지 46만1821㎡에 대한 지적재조사사업을 추진한다고 28일 밝혔다. 지적재...
"창원시, 공동주택 리모델링 기본계획 원안 가결…도 승인시 확정",내년부터 이주수요 고려한 연도별 리모델링 허가총량제 실시 예정 (창원=연합뉴스) 김선경 기자 = 경남 창원시는 '공동주택 리모델링 기본계획(안)'이 지난 23일 열린 시 도시계획위원회 심...
"청년 주거 고민 그만…경남도, 맞춤형 주택 공급·주거비 지원",'청년·신혼부부 주거지원 시행계획' 수립…청년 매입 임대주택 공급 등 (창원=연합뉴스) 황봉규 기자 = 경남도는 올해 청년·신혼부부 주거안정과 청년층 인구 유출에 대응하기 위해 총 4천70...
[경남소식] '공익형 직불제' 사업자 모집…마을 100곳·농업인 1천명,"(창원=연합뉴스) 경남도는 7일부터 내달까지 경남 공익형 직불제 사업자를 모집한다. 마을 100개소, 친환경농업인증 농업인 1천명을 모집한다. 신청기한은 마을은 오는 31일까지, 농업인은 ..."
"거제해양플랜트 국가산단 예정지, 토지거래허가구역 재지정",(창원=연합뉴스) 황봉규 기자 = 경남도는 거제해양플랜트 국가산업단지 조성 예정지인 거제시 사등면 사곡리·사등리 일대 1.57㎢(1천216필지)를 토지거래 계약에 관한 허가구역으로 재지정한...
김해 진례 복합스포츠레저시설 사업 속도…주택단지 곧 분양,택지 토목공사 공정률 80% 넘겨 (김해=연합뉴스) 이정훈 기자 = 군인공제회가 민간투자자로 참여하는 경남 김해 복합스포츠·레저시설 조성사업 속도가 빨라질 것으로 보인다. 군인공제회는 2...
"국토부, 거창·임실 등 지역개발 우수사례 선정","기사내용 요약 우수사례 경진대회 및 정책포럼 열어 거창·임실·서천·하동·예산·의성군 6곳 [서울=뉴시스] 이예슬 기자 = 경남 거창군 '신원면 신바람 주거플랫폼', 전북 임실군 '임실천 경관..."
"진주시, 올해 하반기 3200세대 아파트 분양",(진주=뉴스1) 한송학 기자 = 경남 진주시에 올해 하반기 3200세대의 아파트가 분양될 계획이다. 대규모 아파트 분양으로 지역건설 및 지역경제 활성화도 전망된다. 14일 진주시에 따르면 신...
"창원시, 전문가·시민 참여 주거정책자문단 운영","(창원=연합뉴스) 13일 경남 창원시청에서 열린 주거정책자문단 위촉식에서 자문위원들이 기념 촬영하고 있다. 대학교수, 전문자격 기술사, 부동산 금융정책 담당 공공기관 직원, 부동산 거래..."
[창원소식] 신혼부부 전세자금 대출이자 지원,"(창원=연합뉴스) 경남 창원시는 올해 신혼부부 1천587가구에 전세자금 대출이자 10억1천500만원을 지원한다고 11일 밝혔다. 창원시에 주소를 두고 혼인신고일 기준 7년 이내, 기준 중위소득 ..."
"화개장터로 이어지는 섬진강변 19번 국도, 4차로 확장 개통",[서울=뉴시스] 강세훈 기자 = 국토교통부는 국도 19호선 경남 하동군 악양면에서 화개면까지 총 연장 9.3㎞에 대해 4차로 확장공사를 마무리하고 오는 6월4일 완전 개통한다고 31일 밝혔다. ...
[경남소식] 민간참여형 청년주택 지원사업 대상주택 모집,"(창원=연합뉴스) 경남도는 창원시, 경남개발공사, 민간기업체와 협업하는 '2021년 민간참여형 청년주택 지원사업' 대상주택을 공개 모집한다고 17일 밝혔다. 민간참여형 청년주택은 공공과 ..."
양산시 6월1일부터 주택임대차 신고제 시행,(경남=뉴스1) 김명규 기자 = 경남 양산시가 오는 6월1일부터 주택임대차 신고제를 시행한다고 11일 밝혔다. ‘주택임대차 신고제’는 임차인 보호와 임대차시장 투명성 제고를 위한 정책으로...
"경남진주 등 3곳, 국토부 '위험건축물 재생사업' 선정","[한국경제TV 김원규 기자] 경남진주(백화점), 경북청도(공용버스터미널), 경기여주(시민회관)에 소재한 위험건축물(안전 D·E등급)이 도시재생사업을 통해 지역에 필요한 생활SOC로 본격 정비..."
"[창원소식] 창원시·경남대, 도시재생 활성화 협력",(창원=연합뉴스) 경남 창원시와 경남대학교가 17일 도시재생 활성화 업무협약을 했다. 지방자치단체 실행력과 지역거점대학이 가진 연구역량을 결합해 도시재생을 활성화한다. 두 기관은 문...
"창원시, 부영주택 등 성실납세자에 감사패 수여",창원시가 지난 3일 '제55회 납세자의 날'을 맞이해 부영주택 등 법인 2개 업체와 개인 3명에게 성실납세 감사패를 수여했다고 8일 밝혔다. 올해 감사패를 받은 납세자는 부영주택과 한국철강...
"창원시, 옛 육군대학 터 '진해연구자유지역' 이름 공모",(창원=연합뉴스) 이정훈 기자 = 경남 창원시는 옛 육군대학 부지에 들어서는 연구단지인 '진해연구자유지역' 이름을 오는 22일까지 공모한다고 1일 밝혔다. 창의적이면서 상징성 있는 이름을...
"창원시, 국토부에 '동읍·북면' 투기과열지구 해제 건의",(창원=연합뉴스) 김동민 기자 = 경남 창원시는 국토교통부를 방문해 의창구 동읍·북면의 투기과열지구 해제를 건의했다고 15일 밝혔다. 창원지역 부동산은 지난해 의창·성산구 지역 신축 및 ...
"""집 걱정 없이 일하세요""…창원에 창업지원주택 준공","창업자·청년·대학생·신혼부부 입주자 모집 (창원=연합뉴스) 이정훈 기자 = 창업자, 청년, 대학생, 신혼부부가 저렴하게 입주할 수 있는 '창업지원주택'이 경남 창원시에 생긴다. 창원시는 경..."
"[2020 여기, 타임캡슐에 담다2] ⑨공업도시의 불빛은 어두워졌지만, 문화도시 창원은 오늘이 빛난다",[조선비즈 창간 10주년 기획] 2020년은 21세기의 원년인 2001년에 출생한 사람이 성년이 된 해다. 신종 코로나 바이러스 감염증(코로나19)이 전 세계를 휩쓸며 경제와 사회에 새로운 화두를 ...
"경남 하동, 도시재생 뉴딜 첫 완료…전국 354곳 진행중","[서울=뉴시스] 강세훈 기자 = 도시재생 뉴딜사업을 완료한 첫 사례가 나왔다. 현재 전국 354곳에서 진행중인 도시재생 뉴딜사업 성과가 점차 가시화될 전망이다. 국토교통부는 경상남도, 하..."
[경남소식] 부동산 거래질서 교란행위 집중 단속,(창원=연합뉴스) 경남도는 최근 일부 지역 아파트 부녀회 등을 중심으로 확산하는 아파트 시세조작 등 부동산 거래질서 교란 행위를 연말까지 집중 단속한다고 19일 밝혔다. 도는 일부 아파...
남해독일마을 울고 갈 ‘거제지중해마을’ 어떻게 조성되나?,코로나19의 여파로 해외로 향하던 여행 수요가 국내 명소로 몰리고 있다. 특히 남해독일마을 등 자연환경과 이색적인 문화를 동시에 누릴 수 있는 랜드마크에 관광객의 관심이 쏠리고 있다. ...
[경남소식] 올해 8개 시·군 지적공부 1천393필지 이중경계 정비,"(창원=연합뉴스) 경남도는 올해 도내 8개 시·군 지적공부의 9개 구간, 28개 지구, 1천393필지 이중경계 지역을 정비한다고 3일 밝혔다. 이중경계 정비사업은 겹치거나 벌어지는 경계 지역에 ..."
